,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-01-04,7302.0,17200.0,1892.0,,,12635.0,,,,8344.0,21435.0,4579.0,245.96,,,,4340.0,,60030.0,,16610.0,,,,4057.0,,24350.0,,3033.0,,,,,8050.0,,,,4549.0,,,,,,,,,5901.0,7635.0,,,,,,4126.0,,,,,,,,,,
2010-01-05,7344.0,17540.0,1891.0,,,12660.0,,,,8372.0,21650.0,4589.0,253.23,,,,4358.0,,60590.0,,16525.0,,,,4066.0,,24705.0,,3032.0,,,,,8056.0,,,,4696.0,,,,,,,,,5925.0,7700.0,,,,,,4122.0,,,,,,,,,,
2010-01-06,7376.0,18160.0,1908.0,,,12605.0,,,,8352.0,21740.0,4622.0,251.1,,,,4377.0,,61630.0,,16320.0,,,,4154.0,,25050.0,,3058.0,,,,,8090.0,,,,4704.0,,,,,,,,,5923.0,7655.0,,,,,,4220.0,,,,,,,,,,
2010-01-07,7134.0,17835.0,1898.0,,,12235.0,,,,8190.0,21725.0,4489.0,252.36,,,,4287.0,,61170.0,,16035.0,,,,4044.0,,24855.0,,2988.0,,,,,7860.0,,,,4603.0,,,,,,,,,5794.0,7560.0,,,,,,4070.0,,,,,,,,,,
2010-01-08,7036.0,17500.0,1925.0,,,12175.0,,,,8146.0,21210.0,4462.0,249.56,,,,4261.0,,60690.0,,15960.0,,,,3981.0,,25355.0,,2962.0,,,,,7744.0,,,,4604.0,,,,,,,,,5597.0,7470.0,,,,,,4045.0,,,,,,,,,,
2010-01-11,7124.0,18260.0,1921.0,,,12490.0,,,,8262.0,21735.0,4516.0,256.85,,,,4315.0,,62170.0,,16040.0,,,,4031.0,,26040.0,,2985.0,,,,,7802.0,,,,4719.0,,,,,,,,,5613.0,7525.0,,,,,,4098.0,,,,,,,,,,
2010-01-12,7034.0,18255.0,1908.0,,,12255.0,,,,8320.0,21490.0,4510.0,257.15,,,,4293.0,,61700.0,,16070.0,,,,4004.0,,25860.0,,2955.0,,,,,7726.0,,,,4658.0,,,,,,,,,5545.0,7450.0,,,,,,4042.0,,,,,,,,,,
2010-01-13,6794.0,17410.0,1887.0,,,11765.0,,,,8176.0,20450.0,4418.0,250.72,,,,4218.0,,59770.0,,15641.466666666667,,,,3909.0,,25305.0,,2869.0,,,,,7498.0,,,,4584.0,,,,,,,,,5377.0,7325.0,,,,,,3975.0,,,,,,,,,,
2010-01-14,6888.0,17600.0,1896.0,,,12065.0,,,,8334.0,20610.0,4433.0,252.97,,,,4237.0,,60750.0,,15679.55851851852,,,,3919.0,,25680.0,,2881.0,,,,,7552.0,,,,4615.0,,,,,,,,,5455.0,7390.0,,,,,,3975.0,,,,,,,,,,
2010-01-15,6842.0,17590.0,1891.0,,,11840.0,,,,8232.0,20470.0,4368.0,252.21,,,,4172.0,,60510.0,,15546.237037037037,,,,3915.0,,25050.0,,2886.0,,,,,7498.0,,,,4577.0,,,,,,,,,5391.0,7370.0,,,,,,3968.0,,,,,,,,,,
2010-01-18,6820.0,17665.0,1896.0,,,11985.0,,,,8348.0,20550.0,4395.0,251.81,,,,4200.0,,60880.0,,15570.044444444444,,,,3909.0,,24740.0,,2904.0,,,,,7456.0,,,,4580.0,,,,,,,,,5430.0,7310.0,,,,,,3966.0,,,,,,,,,,
2010-01-19,6846.0,17735.0,1896.0,,,12000.0,,,,8384.0,20950.0,4382.0,252.39,,,,4190.0,,61630.0,,15579.567407407407,,,,3919.0,,25360.0,,2910.0,,,,,7480.0,,,,4600.0,,,,,,,,,5451.0,7291.244387427838,,,,,,3966.0,,,,,,,,,,
2010-01-20,6702.0,17410.0,1890.0,,,12100.0,,,,8270.0,20756.79829746985,4364.0,251.38,,,,4172.0,,60842.04563845282,,15270.07111111111,,,,3861.0,,25270.0,,2870.0,,,,,7358.0,,,,4588.0,,,,,,,,,5489.0,7258.4220654265555,,,,,,3920.0,,,,,,,,,,
2010-01-21,6818.0,17465.0,1895.0,,,12335.0,,,,8318.0,20732.028848427522,4352.0,248.3,,,,4163.0,,60812.12332092571,,15465.291851851853,,,,3901.0,,25730.0,,2885.0,,,,,7442.0,,,,4630.0,,,,,,,,,5680.0,7286.555484284798,,,,,,3955.0,,,,,,,,,,
2010-01-22,6808.0,17060.0,1877.0,,,12070.0,,,,8120.927984987099,19746.204776542916,4288.0,243.32,,,,4080.0,,59206.29228030425,,15527.191111111111,,,,3889.0,,24475.0,,2870.0,,,,,7452.0,,,,4586.0,,,,,,,,,5584.0,7267.799871712637,,,,,,3937.0,,,,,,,,,,
2010-01-25,6818.0,17195.0,1867.0,,,11945.0,,,,8120.927984987099,19840.32868290376,4278.0,245.36,,,,4086.0,,59774.81631331931,,15522.42962962963,,,,3911.0,,24590.0,,2870.0,,,,,7424.0,,,,4563.0,,,,,,,,,5605.0,7234.977549711353,,,,,,3974.0,,,,,,,,,,
2010-01-26,6706.0,16975.0,1859.0,,,11775.0,,,,8023.367581515365,19211.18467722866,4265.0,243.1,,,,4079.0,,59056.68069266871,,15151.034074074074,,,,3885.0,,24065.0,,2843.0,,,,,7334.0,,,,4519.0,,,,,,,,,5652.0,7131.821680564464,,,,,,3952.0,,,,,,,,,,
2010-01-27,6750.0,17014.672801635992,1861.0,,,11575.0,,,,7927.758386113066,19270.631354930243,4316.0,243.81,,,,4118.0,,59375.852079624536,,15208.171851851852,,,,3922.0,,23780.0,,2852.0,,,,,7406.0,,,,4526.0,,,,,,,,,5584.0,7089.621552277101,,,,,,3978.0,,,,,,,,,,
2010-01-28,6704.0,16325.357873210634,1844.0,,,11450.0,,,,7812.637110016421,18344.25396074722,4293.0,241.44,,,,4096.0,,57331.160381938826,,15146.272592592593,,,,3863.0,,23165.0,,2807.0,,,,,7326.0,,,,4544.0,,,,,,,,,5383.0,6958.3322642719695,,,,,,3928.0,,,,,,,,,,
2010-01-29,6646.0,16007.9754601227,1854.0,,,11450.0,,,,7849.7100633356795,17427.78434618113,4300.0,239.36,,,,4095.0,,55426.10616604629,,15122.465185185185,,,,3853.0,,22985.0,,2788.0,,,,,7270.0,,,,4496.0,,,,,,,,,5378.0,6892.687620269403,,,,,,3920.0,,,,,,,,,,
2010-02-01,6556.0,16211.298568507156,1847.0,,,11375.0,,,,7752.149659863946,17269.25987231024,4295.0,239.56,,,,4089.0,,54328.95452338566,,15231.97925925926,,,,3768.0,,23000.0,,2721.0,,,,,7182.0,,,,4407.0,,,,,,,,,5430.0,6836.420782552918,,,,,,3855.0,,,,,,,,,,
2010-02-02,6558.0,16236.094069529652,1846.0,,,11285.0,,,,7771.661740558293,17145.412627098605,4159.0,244.74,,,,3972.0,,54159.39472406538,,15027.235555555555,,,,3735.0,,22955.0,,2698.0,,,,,7174.0,,,,4439.0,,,,,,,,,5497.0,6855.1763951250805,,,,,,3803.0,,,,,,,,,,
2010-02-03,6720.0,16608.026584867075,1862.0,,,11475.0,,,,7972.6361717100635,17992.52778434618,4180.0,247.24,,,,3976.0,,55745.2775530021,,15298.64,,,,3782.0,,23525.0,,2742.0,,,,,7316.0,,,,4498.0,,,,,,,,,5657.0,7005.221295702373,,,,,,3837.0,,,,,,,,,,
2010-02-04,6648.0,16384.86707566462,1848.0,,,11390.0,,,,7933.612010321371,17516.954362733508,4115.0,245.11,,,,3924.0,,53860.1715487943,,15346.254814814814,,,,3755.0,,22980.0,,2718.0,,,,,7270.0,,,,4457.0,,,,,,,,,5573.0,6981.776779987171,,,,,,3831.98431372549,,,,,,,,,,
2010-02-05,6684.0,16146.83026584867,1850.0,,,11285.0,,,,7853.612479474549,16986.888153227712,4109.0,235.77,,,,3913.0,,51845.4021686357,,15279.594074074073,,,,3785.0,,22030.0,,2730.0,,,,,7282.0,,,,4331.0,,,,,,,,,5497.0,6920.821039127646,,,,,,3870.1035294117646,,,,,,,,,,
2010-02-08,6784.0,16171.625766871166,1850.0,,,11395.0,,,,7830.197982641333,17021.565381886972,4129.0,236.86,,,,3930.0,,52423.90030749312,,15051.042962962963,,,,3812.0,,21980.0,,2756.0,,,,,7368.0,,,,4332.0,,,,,,,,,5539.0,6977.087876844131,,,,,,3881.1380392156866,,,,,,,,,,
2010-02-09,6776.0,16330.316973415132,1849.0,,,11520.0,,,,7943.368050668543,17150.36651690707,4157.0,238.47,,,,3954.0,,53062.243081404755,,15179.602962962963,,,,3809.0,,22380.0,,2758.0,,,,,7386.0,,,,4341.0,,,,,,,,,5558.0,7000.532392559333,,,,,,3881.1380392156866,,,,,,,,,,
2010-02-10,6766.0,16484.0490797546,1858.0,,,11645.0,,,,7994.099460473845,17521.908252541973,4198.0,239.85,,,,4000.0,,54518.462534390674,,15379.585185185186,,,,3769.0,,23280.0,,2742.0,,,,,7366.0,,,,4352.0,,,,,,,,,5756.0,7028.665811417575,,,,,,3927.2823529411767,,,,,,,,,,
2010-02-11,6820.0,16503.885480572597,1855.0,,,11690.0,,,,8066.294159042928,17908.31165760227,4229.0,240.3,,,,4024.0,,55246.57226088364,,15417.677037037038,,,,3798.0,,23850.0,,2780.0,,,,,7432.0,,,,4380.0,,,,,,,,,5785.0,7066.177036561899,,,,,,3856.059607843137,,,,,,,,,,
2010-02-12,6782.0,16687.37218813906,1858.0,,,11790.0,,,,8226.29322073657,18175.821707259398,4293.0,242.2,,,,4092.0,,56263.931056805304,,15455.76888888889,,,,3776.0,,24330.0,,2776.0,,,,,7400.0,,,,4426.0,,,,,,,,,5840.0,7136.510583707504,,,,,,3856.059607843137,,,,,,,,,,
2010-02-22,6932.0,16841.104294478526,1865.0,,,12095.0,,,,8259.46375791696,18666.25679829747,4243.0,248.33,,,,4032.0,,58857.19857582133,,15965.247407407407,,,,3819.0,,24885.0,,2813.0,,,,,7500.0,,,,4530.0,,,,,,,,,5733.0,7230.288646568313,,,,,,3842.01568627451,,,,,,,,,,
2010-02-23,7016.0,16875.81799591002,1877.0,,,12125.0,,,,8267.268590194699,18601.85623078742,4283.0,247.22,,,,4075.0,,58737.5093057129,,16031.908148148148,,,,3874.0,,25105.0,,2868.0,,,,,7578.0,,,,4515.0,,,,,,,,,5764.0,7220.910840282232,,,,,,3867.0941176470587,,,,,,,,,,
2010-02-24,6956.0,16692.331288343557,1874.0,,,12060.0,,,,8275.073422472438,18210.49893591866,4253.0,245.06,,,,4050.0,,58019.37368506231,,15822.402962962964,,,,3858.0,,25145.0,,2854.0,,,,,7512.0,,,,4506.0,,,,,,,,,5780.0,7202.155227710071,,,,,,3876.122352941177,,,,,,,,,,
2010-02-25,6900.0,16702.249488752557,1871.0,,,11855.0,,,,8169.708186722965,18107.365042268633,4209.0,242.28,,,,4015.0,,57710.97166444555,,15650.98962962963,,,,3838.0,,24680.0,,2832.0,,,,,7462.0,,,,4509.0,,,,,,,,,5741.0,7141.199486850545,,,,,,3865.087843137255,,,,,,,,,,
2010-02-26,6864.0,16593.149284253577,1866.0,,,11890.0,,,,8202.878723903355,18102.453904475777,4214.0,246.4,,,,4025.0,,57890.043805448826,,15979.531851851852,,,,3830.0,,24835.0,,2814.0,,,,,7438.0,,,,4507.0,,,,,,,,,5765.0,7108.377164849262,,,,,,3865.087843137255,,,,,,,,,,
2010-03-01,6922.0,16707.208588957055,1878.0,,,11915.0,,,,8154.098522167488,18441.322412183,4209.0,247.79,,,,4022.0,,60466.69294544045,,15974.77037037037,,,,3883.0,,24680.0,,2851.0,,,,,7488.0,,,,4534.0,,,,,,,,,5754.0,7108.377164849262,,,,,,3872.109803921569,,,,,,,,,,
2010-03-02,6888.0,16414.621676891617,1872.0,,,11640.0,,,,8064.342950973493,17739.02970780426,4155.0,247.38,,,,3976.0,,58864.9921286889,,15836.687407407408,,,,3873.0,,23786.584,,2821.0,,,,,7472.0,,,,4503.0,,,,,,,,,5670.0,7061.4881334188585,,,,,,3873.112941176471,,,,,,,,,,
2010-03-03,6968.0,16543.55828220859,1871.0,,,11695.0,,,,8056.538118695755,17930.564081725734,4143.0,251.9,,,,3978.0,,59352.46629030894,,16027.146666666667,,,,3892.0,,23969.216,,2831.0,,,,,7536.0,,,,4520.0,,,,,,,,,5682.0,7089.621552277101,,,,,,3892.172549019608,,,,,,,,,,
2010-03-04,6884.0,16548.517382413087,1863.0,,,11520.0,,,,7982.392212057237,18023.875699790042,4141.0,251.05,,,,3965.0,,59103.75498335994,,15889.063703703703,,,,3834.0,,23421.32,,2783.0,,,,,7458.0,,,,4528.0,,,,,,,,,5635.0,7005.221295702373,,,,,,3854.0533333333333,,,,,,,,,,
2010-03-05,7018.0,16593.149284253577,1862.0,,,11495.0,,,,8035.074829931973,18259.610313847243,4168.0,251.28,,,,3983.0,,59561.3837881461,,15955.724444444444,,,,3835.0,,23712.543999999998,,2777.0,,,,,7520.0,,,,4545.0,,,,,,,,,5697.0,6981.776779987171,,,,,,3886.1537254901964,,,,,,,,,,
2010-03-08,7030.0,16774.897811049723,1869.0,,,11620.0,,,,8159.952146375792,18893.147089125967,4189.0,252.01,,,,4011.0,,60377.15687493881,,16041.431111111111,,,,3842.0,,24482.559999999998,,2797.0,,,,,7544.0,,,,4567.0,,,,,,,,,5747.0,7056.7992302758175,,,,,,3886.1537254901964,,,,,,,,,,
2010-03-09,7092.0,16637.35838536615,1870.0,,,11540.0,,,,8177.513019000704,18760.54636871879,4198.055339386079,248.36,,,,4030.0,,59959.32187926449,,16269.982222222223,,,,3845.0,,24216.016,,2794.0,,,,,7582.0,,,,4563.0,,,,,,,,,5713.0,7047.4214239897365,,,,,,3892.172549019608,,,,,,,,,,
2010-03-10,7046.0,16765.073566358038,1872.0,,,11535.0,,,,8142.39127375088,19011.014396154565,4209.827280587981,249.44,,,,4032.0,,60307.517708993095,,16103.330370370371,,,,3836.0,,24240.696,,2787.0,,,,,7586.0,,,,4560.0,,,,,,,,,5557.0,7033.354714560615,,,,,,3862.078431372549,,,,,,,,,,
2010-03-11,6954.0,16607.8856512911,1873.0,,,11270.0,,,,8060.440534834624,18534.634030247307,4212.543882403805,245.93,,,,4029.0,,59004.270460580345,,15970.00888888889,,,,3850.0,,23781.647999999997,,2784.0,,,,,7542.0,,,,4547.0,,,,,,,,,5359.0,6991.154586273252,,,,,,3862.078431372549,,,,,,,,,,
