,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-01-04,7462.0,17355.0,1893.0,,,12685.0,,,,8480.0,21660.0,4735.0,247.36,,,,4486.0,,60220.0,,17465.0,,,,4004.0,,24630.0,,3055.0,,,,,8168.0,,,,4600.0,,,,,,,,,5408.0,8090.0,,,,,,4147.0,,,,,,,,,,
2010-01-05,7430.0,17660.0,1892.0,,,12635.0,,,,8508.0,21820.0,4743.0,252.49,,,,4486.0,,60670.0,,17450.0,,,,4010.0,,24960.0,,3055.0,,,,,8084.0,,,,4744.0,,,,,,,,,5352.0,8235.0,,,,,,4095.0,,,,,,,,,,
2010-01-06,7440.0,18250.0,1914.0,,,12605.0,,,,8492.0,21925.0,4803.0,253.7,,,,4505.0,,61800.0,,17190.0,,,,4081.0,,25170.0,,3074.0,,,,,8184.0,,,,4748.0,,,,,,,,,5539.0,8190.0,,,,,,4150.0,,,,,,,,,,
2010-01-07,7254.0,17880.0,1901.0,,,12315.0,,,,8344.0,21855.0,4730.0,252.58,,,,4402.0,,61330.0,,16810.0,,,,3975.0,,24880.0,,3008.0,,,,,7922.0,,,,4669.0,,,,,,,,,5616.0,8040.0,,,,,,4120.0,,,,,,,,,,
2010-01-08,7174.0,17660.0,1921.0,,,12470.0,,,,8300.0,21400.0,4743.0,250.53,,,,4433.0,,60900.0,,16735.0,,,,3926.0,,25445.0,,2986.0,,,,,7858.0,,,,4665.0,,,,,,,,,5418.0,7890.0,,,,,,4001.0,,,,,,,,,,
2010-01-11,7240.0,18380.0,1923.0,,,12450.0,,,,8430.0,21920.0,4834.0,257.95,,,,4485.0,,62420.0,,16840.0,,,,3975.0,,26135.0,,3010.0,,,,,7900.0,,,,4771.0,,,,,,,,,5485.0,8070.0,,,,,,4088.0,,,,,,,,,,
2010-01-12,7120.0,18345.0,1914.0,,,12300.0,,,,8528.0,21700.0,4802.0,257.3,,,,4480.0,,61780.0,,16875.0,,,,3933.0,,25880.0,,2970.0,,,,,7856.0,,,,4727.0,,,,,,,,,5405.0,8035.0,,,,,,4088.0,,,,,,,,,,
2010-01-13,6900.0,17490.0,1897.0,,,11790.0,,,,8372.0,20645.0,4725.0,251.2,,,,4410.0,,59840.0,,16512.875536480686,,,,3863.0,,25300.0,,2883.0,,,,,7610.0,,,,4657.0,,,,,,,,,5215.0,7780.0,,,,,,4088.0,,,,,,,,,,
2010-01-14,6900.0,17680.0,1905.0,,,12160.0,,,,8488.0,20795.0,4742.0,253.8,,,,4446.0,,60800.0,,16554.261189454322,,,,3874.0,,25710.0,,2903.0,,,,,7688.0,,,,4669.0,,,,,,,,,5228.0,7840.0,,,,,,4050.0,,,,,,,,,,
2010-01-15,6830.0,17750.0,1902.0,,,11910.0,,,,8390.0,20620.0,4678.0,253.2704590189749,,,,4414.0,,60580.0,,16424.93102391171,,,,3862.0,,25100.0,,2910.0,,,,,7570.0,,,,4647.0,,,,,,,,,5158.0,7770.0,,,,,,4010.0,,,,,,,,,,
