date,RB,L,A,BU,SC,RM,EG,FB,CS,SP,RR,UR,AG,PB,WR,SA,AL,JR,LU,V,JD,SS,MA,OI,SF,LH,RS,FG,CF,BC,Y,EB,PP,CU,AU,B,PG,C,FU,ZC,PK,WH,M,BB,HC,SR,CY,RI,RU,P,PF,NI,JM,SI,LR,CJ,SN,TA,J,I,ZN,SM,AP,NR
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,58449555439.0,16983750790.0,15169680495.0,,,,,,,,,,,,69693103.0,,19056861972.5,,,2478596560.0,,,,,,,,,18080557375.0,,66938826535.0,,,100076238860.0,10674246376.0,2569455.0,,2735745000.0,11553414486.0,,,,22398298285.0,,,117934645415.0,,,121696725052.5,46768939460.0,,,,,,,,21834154230.0,,,50815439452.5,,,
2010-02-01,56792437449.0,17175349115.0,15281940330.0,,,,,,,,,,,,64413665.0,,19964230347.5,,,2253155500.0,,,,,,,,,16846328860.0,,65572425090.0,,,104073524465.0,10297216165.0,2879600.0,,2635701515.0,11518934861.0,,,,22025581650.0,,,120663364870.0,,,126434107920.0,46324091575.0,,,,,,,,21452628290.0,,,53193802230.0,,,
2010-02-02,58924252724.0,17482628305.0,15468427970.0,,,,,,,,,,,,62918478.0,,19824574687.5,,,1876926730.0,,,,,,,,,16451263485.0,,64402961935.0,,,106286537055.0,9776065990.0,3028435.0,,2602784160.0,10705365356.0,,,,21610517675.0,,,121625708625.0,,,128812703275.0,45166936920.0,,,,,,,,21289193050.0,,,54208865887.5,,,
2010-02-03,58519709678.0,17666577500.0,14236113020.0,,,,,,,,,,,,58786867.0,,18988859585.0,,,1793086000.0,,,,,,,,,15964698570.0,,62441968380.0,,,108633826675.0,9124119617.0,3011895.0,,2553216415.0,9878340409.0,,,,20442592870.0,,,121910943715.0,,,132008174017.5,43928924975.0,,,,,,,,21222155535.0,,,56562881567.5,,,
2010-02-04,55911206175.0,17575489000.0,13262376285.0,,,,,,,,,,,,51957999.0,,17597876747.5,,,1666757135.0,,,,,,,,,15518874680.0,,58547772815.0,,,105632379190.0,8280051608.0,2707220.0,,2456102625.0,9130299734.0,,,,19078234205.0,,,121846277230.0,,,133138864107.5,41907432410.0,,,,,,,,20889174075.0,,,58684556650.0,,,
2010-02-05,54259836023.0,17542279595.0,13227376520.0,,,,,,,,,,,,49669265.0,,16771463332.5,,,1627325735.0,,,,,,,,,15293283240.0,,56484831070.0,,,102718561535.0,8029139689.0,2585145.0,,1911851925.0,8820367707.0,,,,18623019050.0,,,121763247715.0,,,128679551450.0,40649905440.0,,,,,,,,20620312065.0,,,58919085735.0,,,
2010-02-08,52906382667.0,17616715430.0,13018070735.0,,,,,,,,,,,,47569328.0,,15796625955.0,,,1654773425.0,,,,,,,,,15389696150.0,,55267000265.0,,,101638993175.0,7586156076.0,2438265.0,,1706340030.0,8243931466.0,,,,18406164315.0,,,120650857110.0,,,128005515100.0,39744190650.0,,,,,,,,20399728535.0,,,60071908872.5,,,
2010-02-09,51535623898.0,17682743965.0,12390825215.0,,,,,,,,,,,,44456284.0,,14008020747.5,,,1682487130.0,,,,,,,,,15350408210.0,,53883928005.0,,,102762129190.0,7287352171.0,2320530.0,,1555314480.0,7862600759.0,,,,18054396030.0,,,119590392210.0,,,128187504235.0,39186429505.0,,,,,,,,19907304245.0,,,61359626215.0,,,
2010-02-10,49840650737.0,17685810575.0,12372122775.0,,,,,,,,,,,,41877970.0,,12718760055.0,,,1698736930.0,,,,,,,,,14915823310.0,,52501709720.0,,,102084135080.0,6850944686.0,2237045.0,,1400408115.0,7374935590.0,,,,17773028650.0,,,118113037295.0,,,125476719240.0,38811676385.0,,,,,,,,19533127180.0,,,62810397962.5,,,
2010-02-11,48495039145.0,16982375455.0,12461937460.0,,,,,,,,,,,,40334190.0,,12194123152.5,,,1730180365.0,,,,,,,,,14448341470.0,,50820134000.0,,,102874406975.0,6652342891.0,2137290.0,,1324362600.0,7050579890.0,,,,17686275005.0,,,115057937635.0,,,125341940867.5,37982691850.0,,,,,,,,18558186840.0,,,63880547682.5,,,
