date,RB,L,A,BU,SC,RM,EG,FB,CS,SP,RR,UR,AG,PB,WR,SA,AL,JR,LU,V,JD,SS,MA,OI,SF,LH,RS,FG,CF,BC,Y,EB,PP,CU,AU,B,PG,C,FU,ZC,PK,WH,M,BB,HC,SR,CY,RI,RU,P,PF,NI,JM,SI,LR,CJ,SN,TA,J,I,ZN,SM,AP,NR
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,1320790.8,281638.5,381493.8,,,,,,,,,,,,1640.4,,216359.0,,,64825.6,,,,,,,,,222080.2,,878480.9,,,333347.5,42743.1,63.8,,144180.1,250519.6,,,,762319.4,,,2106890.6,,,981111.0,672828.8,,,,,,,,529078.3,,,497228.3,,,
2010-02-01,1288115.3,286073.6,385613.9,,,,,,,,,,,,1521.3,,228021.8,,,59033.8,,,,,,,,,207792.2,,864827.9,,,349758.2,41246.5,72.0,,138971.6,250093.7,,,,754184.8,,,2161910.5,,,1024944.5,669534.2,,,,,,,,521401.1,,,528968.6,,,
2010-02-02,1344736.8,292402.3,391642.8,,,,,,,,,,,,1493.9,,227025.9,,,49399.5,,,,,,,,,203452.8,,853306.7,,,359208.3,39220.1,76.1,,137322.9,232930.6,,,,744774.7,,,2188473.9,,,1047702.9,656176.6,,,,,,,,518911.6,,,545978.1,,,
2010-02-03,1343120.6,297046.3,363194.1,,,,,,,,,,,,1405.8,,218806.7,,,47343.1,,,,,,,,,197695.2,,832055.8,,,369426.2,36659.2,76.0,,134854.4,215790.2,,,,709862.5,,,2200787.5,,,1076892.0,641754.1,,,,,,,,518199.4,,,577096.4,,,
2010-02-04,1290932.5,296955.9,340453.4,,,,,,,,,,,,1250.7,,204270.4,,,44093.7,,,,,,,,,192259.4,,785576.2,,,362595.1,33357.3,68.9,,129841.4,199942.8,,,,668109.4,,,2204488.4,,,1090376.6,615544.6,,,,,,,,510587.2,,,607465.5,,,
2010-02-05,1257385.6,297491.6,341079.4,,,,,,,,,,,,1201.3,,195567.9,,,43077.6,,,,,,,,,189413.1,,761091.3,,,355795.2,32456.5,65.9,,101499.4,193600.0,,,,656092.5,,,2205672.1,,,1059612.4,599139.2,,,,,,,,504321.1,,,617689.0,,,
2010-02-08,1229755.2,299679.0,336515.9,,,,,,,,,,,,1154.6,,185347.6,,,43838.8,,,,,,,,,190724.3,,746812.6,,,354475.7,30809.2,62.3,,90882.7,181652.9,,,,650707.3,,,2187756.6,,,1061130.8,587764.6,,,,,,,,499457.8,,,635700.1,,,
2010-02-09,1201823.4,301500.0,321199.8,,,,,,,,,,,,1086.0,,166343.0,,,44585.1,,,,,,,,,190281.0,,729674.5,,,360930.7,29704.3,59.4,,83057.9,173808.2,,,,640296.1,,,2169128.5,,,1071965.0,580539.7,,,,,,,,488122.6,,,656036.1,,,
2010-02-10,1165386.0,301702.9,321255.8,,,,,,,,,,,,1026.2,,151795.1,,,44989.6,,,,,,,,,185163.0,,711652.3,,,360432.3,27994.0,57.3,,74911.2,163339.5,,,,632117.3,,,2138560.7,,,1055295.0,575170.0,,,,,,,,478891.2,,,675491.7,,,
2010-02-11,1136435.8,290144.2,323924.5,,,,,,,,,,,,991.1,,146036.6,,,45813.8,,,,,,,,,179560.3,,689735.7,,,364188.7,27239.8,54.8,,70934.7,156512.7,,,,630190.7,,,2076471.2,,,1057696.7,563214.1,,,,,,,,455475.1,,,690107.8,,,
2010-02-12,1102577.0,282361.8,314917.3,,,,,,,,,,,,952.5,,138485.3,,,46435.4,,,,,,,,,171359.1,,660031.5,,,367029.6,26631.8,49.2,,67958.2,150851.1,,,,591316.0,,,1995424.3,,,1033154.8,542166.4,,,,,,,,441282.8,,,686832.9,,,
2010-02-22,1097918.7,267004.1,310986.2,,,,,,,,,,,,990.0,,136274.1,,,47804.6,,,,,,,,,172189.1,,642377.0,,,370451.5,26284.7,59.1,,66297.1,145653.0,,,,582144.0,,,1965785.2,,,1026703.4,535663.7,,,,,,,,426941.1,,,688618.5,,,
